               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,             0.06881,                   0,           0.0057749,             0.36691,           0.0047584,           0.0013607,             0.10591,            0.054076,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.10605,            0.070816,                   0,           0.0067374,             0.42806,           0.0053695,           0.0015008,             0.10133,            0.057798,                   0,            0.040825,           0.0065391,           0.0065391
                   2,            0.094728,            0.081248,                   0,           0.0078769,             0.50045,            0.021574,            0.004378,            0.081764,             0.07281,                   0,             0.01076,           0.0098072,           0.0098072
                   3,            0.077995,            0.067311,                   0,           0.0071748,             0.13085,           0.0042162,           0.0010852,                 nan,                 nan,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.064177,            0.059886,                   0,             0.46887,              0.6223,             0.45067,             0.13155,            0.062521,            0.065146,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.057042,            0.059912,                   0,              0.4319,             0.35585,              0.3202,            0.083851,            0.069711,            0.058846,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.051815,            0.055435,                   0,             0.78728,             0.78715,             0.82289,             0.34378,            0.045304,            0.042253,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.049707,            0.053613,                   0,             0.82273,              0.8152,             0.85253,             0.38102,            0.042912,            0.041545,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.047018,            0.053842,                   0,             0.83656,             0.80935,             0.86666,             0.38184,            0.043173,            0.041527,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.045393,            0.052721,                   0,            0.068365,            0.090827,            0.020984,            0.005929,            0.098522,             0.18484,                   0,            0.009606,            0.009606,            0.009606
                  10,             0.04429,             0.05147,                   0,             0.74194,                0.75,             0.76702,             0.33271,            0.045781,            0.051443,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.043206,            0.051161,                   0,             0.84866,             0.79678,             0.87307,             0.43464,            0.038776,            0.040894,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.041748,            0.049157,                   0,             0.84625,             0.83049,             0.88528,             0.42767,            0.038758,            0.040398,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.040983,            0.050004,                   0,             0.83378,             0.84128,             0.88065,             0.41297,            0.039756,            0.041539,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.040753,                0.05,                   0,             0.82867,             0.84597,             0.87308,             0.37065,            0.040267,            0.040283,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,            0.039817,            0.048926,                   0,             0.85832,             0.85537,             0.90751,              0.4592,            0.036304,            0.039612,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,            0.039509,             0.04724,                   0,              0.8613,             0.84603,             0.91369,             0.45622,            0.036188,            0.038239,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,            0.039176,            0.048324,                   0,             0.87168,             0.87355,             0.91419,             0.46238,            0.036162,            0.039043,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,            0.038878,            0.048415,                   0,             0.86373,             0.83502,             0.89559,              0.4667,            0.036791,             0.03925,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,            0.038401,              0.0462,                   0,             0.90134,              0.8668,             0.92749,             0.50645,            0.033954,            0.037528,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,            0.037737,            0.047241,                   0,             0.87827,             0.82959,             0.90133,             0.47306,            0.035959,            0.039299,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,            0.038029,              0.0461,                   0,             0.82052,             0.80216,             0.84818,             0.42156,            0.039107,             0.04438,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,            0.037191,            0.045647,                   0,             0.87938,             0.85252,             0.91661,             0.49765,            0.034428,            0.039201,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,            0.036868,            0.046856,                   0,             0.83042,             0.84333,             0.88365,             0.44654,            0.038264,            0.039803,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,            0.036068,            0.045251,                   0,             0.88752,             0.88343,              0.9331,             0.51739,            0.033267,             0.03706,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,             0.03591,            0.045877,                   0,             0.89123,              0.8953,             0.94238,             0.51916,            0.032942,            0.036334,                   0,           0.0088179,           0.0088179,           0.0088179
                  26,            0.036268,            0.045783,                   0,             0.88545,             0.86556,             0.92242,             0.50628,            0.033366,            0.037511,                   0,           0.0087687,           0.0087687,           0.0087687
                  27,            0.035524,            0.044286,                   0,              0.8817,             0.89138,             0.93478,             0.49134,            0.034145,            0.038261,                   0,           0.0087194,           0.0087194,           0.0087194
                  28,            0.035384,            0.044953,                   0,             0.88995,             0.86691,             0.92486,             0.48235,            0.035334,            0.036932,                   0,           0.0086701,           0.0086701,           0.0086701
                  29,            0.035374,            0.045035,                   0,             0.91673,             0.87095,             0.94691,             0.54115,            0.032058,            0.035909,                   0,           0.0086209,           0.0086209,           0.0086209
                  30,             0.03503,            0.044375,                   0,             0.88119,             0.87635,             0.92666,             0.49799,            0.034772,            0.036807,                   0,           0.0085716,           0.0085716,           0.0085716
                  31,            0.034338,            0.043261,                   0,             0.88595,             0.89418,             0.93925,              0.4935,            0.034265,            0.036947,                   0,           0.0085224,           0.0085224,           0.0085224
                  32,            0.034511,            0.044409,                   0,              0.8954,             0.90453,             0.94679,             0.53998,            0.031667,            0.035823,                   0,           0.0084731,           0.0084731,           0.0084731
                  33,            0.033882,             0.04145,                   0,             0.90458,             0.90367,             0.94686,               0.518,            0.032918,             0.03586,                   0,           0.0084239,           0.0084239,           0.0084239
                  34,             0.03377,            0.043441,                   0,             0.85061,             0.86025,             0.90336,             0.44543,            0.036871,            0.039923,                   0,           0.0083746,           0.0083746,           0.0083746
                  35,            0.033864,            0.042949,                   0,             0.85443,             0.86556,             0.91099,              0.4753,            0.035701,            0.039336,                   0,           0.0083254,           0.0083254,           0.0083254
                  36,            0.033272,            0.041924,                   0,             0.90487,             0.90241,             0.94988,             0.55518,            0.031154,             0.03507,                   0,           0.0082761,           0.0082761,           0.0082761
                  37,            0.033296,               0.042,                   0,             0.90403,             0.89299,             0.94267,             0.54112,            0.032156,            0.035963,                   0,           0.0082269,           0.0082269,           0.0082269
                  38,             0.03299,            0.042172,                   0,             0.90661,             0.91052,             0.95222,             0.55601,            0.031172,            0.034804,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,            0.032206,             0.04185,                   0,             0.90434,             0.90378,             0.95228,             0.55494,            0.031213,            0.034886,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,             0.03258,            0.041808,                   0,             0.89365,             0.90468,             0.94565,             0.54425,            0.031858,            0.035273,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,            0.032463,            0.041592,                   0,             0.89581,             0.89883,              0.9431,             0.54329,            0.031568,             0.03558,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,             0.03221,            0.040613,                   0,             0.90706,             0.89959,             0.95533,             0.56569,            0.030619,             0.03497,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.031796,            0.040244,                   0,             0.90827,              0.9082,             0.95323,             0.55665,            0.031377,            0.035463,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.031434,            0.040909,                   0,             0.90915,             0.88894,              0.9436,             0.55254,            0.031234,            0.035705,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.031128,            0.039735,                   0,             0.89346,             0.88714,             0.93759,             0.53976,            0.032399,            0.035928,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.030887,            0.040057,                   0,             0.89382,             0.92761,             0.95598,             0.57679,            0.030033,            0.033948,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,             0.03064,            0.038627,                   0,             0.90567,              0.9023,             0.95217,              0.5698,             0.03043,            0.034154,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,             0.03057,             0.03939,                   0,             0.90708,             0.92172,             0.95375,             0.58122,             0.02986,            0.034038,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,            0.030738,            0.040865,                   0,             0.91177,                0.92,             0.95828,             0.58545,              0.0296,               0.034,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,             0.03046,             0.03984,                   0,             0.92142,             0.90063,             0.95513,             0.56579,            0.031129,            0.034571,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,            0.030101,            0.038519,                   0,             0.89674,             0.90201,             0.94207,             0.53991,            0.032452,            0.036146,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.030024,            0.037943,                   0,              0.9203,             0.90345,             0.95837,             0.58263,            0.029976,            0.034182,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.030294,            0.038859,                   0,             0.91998,             0.92012,             0.96145,             0.58492,            0.029492,            0.034271,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.029736,            0.038338,                   0,             0.91606,             0.91592,              0.9588,             0.57991,            0.030269,            0.033821,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,            0.029315,            0.038747,                   0,              0.9302,             0.90485,             0.95487,             0.58994,            0.029505,              0.0342,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,            0.029073,            0.038058,                   0,             0.92072,             0.91187,             0.96181,             0.59657,            0.029158,            0.033705,                   0,            0.007291,            0.007291,            0.007291
                  57,            0.028999,            0.037524,                   0,             0.92933,             0.91056,             0.96161,             0.58885,             0.02948,            0.033606,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,            0.028642,            0.037514,                   0,              0.9212,             0.90943,             0.95829,              0.5909,            0.029493,             0.03431,                   0,           0.0071925,           0.0071925,           0.0071925
                  59,            0.028418,            0.037195,                   0,             0.93388,             0.89838,             0.95093,             0.58093,            0.029899,            0.034396,                   0,           0.0071433,           0.0071433,           0.0071433
                  60,              0.0285,            0.037222,                   0,             0.90835,             0.91637,             0.95517,             0.57507,             0.03013,            0.034713,                   0,            0.007094,            0.007094,            0.007094
                  61,            0.027778,            0.036416,                   0,             0.92994,             0.91996,             0.96731,             0.60246,            0.028971,            0.033134,                   0,           0.0070448,           0.0070448,           0.0070448
                  62,            0.028374,            0.037283,                   0,             0.92686,             0.91169,             0.95958,             0.60659,            0.028632,            0.033809,                   0,           0.0069955,           0.0069955,           0.0069955
                  63,            0.028173,            0.036937,                   0,             0.91913,             0.90969,              0.9502,             0.56997,            0.030873,            0.034732,                   0,           0.0069463,           0.0069463,           0.0069463
                  64,            0.028014,            0.035945,                   0,             0.90532,             0.94592,             0.96492,             0.60606,            0.028821,            0.032742,                   0,            0.006897,            0.006897,            0.006897
                  65,            0.028251,            0.036859,                   0,             0.92735,             0.91322,             0.96471,             0.60679,            0.028519,            0.033016,                   0,           0.0068478,           0.0068478,           0.0068478
                  66,            0.027327,            0.036478,                   0,             0.90941,             0.92984,             0.96106,             0.60293,            0.028951,            0.033173,                   0,           0.0067985,           0.0067985,           0.0067985
                  67,            0.027137,            0.035799,                   0,             0.92178,             0.92725,             0.96194,             0.60754,            0.028397,            0.032868,                   0,           0.0067493,           0.0067493,           0.0067493
                  68,            0.027668,            0.036108,                   0,             0.91357,             0.93255,             0.96445,             0.61017,            0.028532,            0.032556,                   0,              0.0067,              0.0067,              0.0067
                  69,            0.027449,            0.035383,                   0,             0.91059,              0.9357,              0.9656,             0.60675,            0.028596,            0.033354,                   0,           0.0066507,           0.0066507,           0.0066507
                  70,            0.027336,             0.03549,                   0,             0.93974,              0.9046,             0.96277,             0.59697,             0.02929,            0.033951,                   0,           0.0066015,           0.0066015,           0.0066015
                  71,            0.026727,            0.035089,                   0,              0.9095,             0.93533,              0.9624,              0.6066,            0.028943,            0.033469,                   0,           0.0065522,           0.0065522,           0.0065522
                  72,            0.026643,            0.035409,                   0,             0.93249,             0.92311,             0.96612,             0.61806,            0.028129,            0.032864,                   0,            0.006503,            0.006503,            0.006503
                  73,            0.026902,            0.034608,                   0,             0.91687,             0.91232,             0.95104,             0.59979,            0.028992,            0.035187,                   0,           0.0064537,           0.0064537,           0.0064537
                  74,            0.026602,            0.034822,                   0,             0.93017,             0.92835,              0.9641,             0.61059,            0.028582,            0.033208,                   0,           0.0064045,           0.0064045,           0.0064045
                  75,            0.026167,            0.034702,                   0,             0.91419,             0.92176,             0.95853,             0.59283,             0.02925,            0.034253,                   0,           0.0063552,           0.0063552,           0.0063552
                  76,            0.026215,            0.034359,                   0,             0.92685,             0.92861,              0.9665,             0.63168,            0.027529,            0.032663,                   0,            0.006306,            0.006306,            0.006306
                  77,            0.025979,            0.033434,                   0,               0.931,              0.9283,             0.96879,               0.629,            0.027812,            0.032293,                   0,           0.0062567,           0.0062567,           0.0062567
                  78,            0.025849,            0.033769,                   0,             0.92946,             0.92428,             0.96846,             0.63109,             0.02742,            0.032425,                   0,           0.0062075,           0.0062075,           0.0062075
                  79,            0.025453,            0.032877,                   0,             0.93565,             0.93345,             0.96956,             0.63544,            0.027596,            0.032264,                   0,           0.0061582,           0.0061582,           0.0061582
                  80,            0.025807,            0.033282,                   0,             0.93992,             0.92861,              0.9673,             0.63079,            0.027489,            0.032353,                   0,            0.006109,            0.006109,            0.006109
                  81,            0.025383,            0.033256,                   0,             0.92076,              0.9339,             0.96441,             0.62199,            0.027895,            0.032744,                   0,           0.0060597,           0.0060597,           0.0060597
                  82,             0.02526,            0.033415,                   0,             0.94583,             0.91853,             0.96754,             0.63305,             0.02761,            0.032365,                   0,           0.0060104,           0.0060104,           0.0060104
                  83,            0.025561,            0.033627,                   0,             0.92725,             0.93413,             0.96469,             0.62635,            0.027967,            0.032927,                   0,           0.0059612,           0.0059612,           0.0059612
                  84,            0.024803,            0.032769,                   0,             0.94159,             0.92062,             0.96479,             0.63825,             0.02717,            0.032039,                   0,           0.0059119,           0.0059119,           0.0059119
                  85,            0.025003,            0.031801,                   0,             0.93925,             0.93159,             0.96681,             0.63938,            0.026969,            0.032574,                   0,           0.0058627,           0.0058627,           0.0058627
                  86,            0.024967,            0.032754,                   0,             0.94145,             0.91817,             0.96738,             0.63456,            0.027363,            0.032506,                   0,           0.0058134,           0.0058134,           0.0058134
                  87,             0.02512,            0.032593,                   0,              0.9378,             0.93554,              0.9686,             0.63376,            0.027453,            0.032075,                   0,           0.0057642,           0.0057642,           0.0057642
                  88,             0.02432,            0.032356,                   0,             0.93742,              0.9321,             0.96484,             0.64568,            0.026879,             0.03235,                   0,           0.0057149,           0.0057149,           0.0057149
                  89,            0.024563,            0.031816,                   0,             0.93922,             0.92851,             0.96739,             0.63732,            0.027142,             0.03259,                   0,           0.0056657,           0.0056657,           0.0056657
                  90,            0.024395,            0.032085,                   0,             0.93518,             0.92113,             0.95993,             0.60023,            0.029323,            0.033351,                   0,           0.0056164,           0.0056164,           0.0056164
                  91,            0.024443,            0.031543,                   0,             0.93327,             0.93696,             0.96741,             0.64205,            0.026938,             0.03232,                   0,           0.0055672,           0.0055672,           0.0055672
                  92,            0.023965,            0.030743,                   0,              0.9445,             0.92356,             0.96873,             0.64092,            0.027141,            0.032527,                   0,           0.0055179,           0.0055179,           0.0055179
                  93,            0.023833,            0.031894,                   0,             0.93433,             0.93397,             0.97036,             0.64494,            0.026874,            0.032542,                   0,           0.0054687,           0.0054687,           0.0054687
                  94,            0.023806,            0.031153,                   0,             0.93785,             0.92271,             0.96676,             0.64802,            0.026995,            0.032568,                   0,           0.0054194,           0.0054194,           0.0054194
                  95,            0.023866,            0.031892,                   0,             0.94093,             0.92395,              0.9675,             0.64556,            0.027226,            0.032671,                   0,           0.0053701,           0.0053701,           0.0053701
                  96,            0.023911,            0.031174,                   0,             0.92988,             0.92986,             0.96494,             0.63838,            0.027281,            0.033063,                   0,           0.0053209,           0.0053209,           0.0053209
                  97,            0.023775,            0.031376,                   0,             0.94307,             0.91618,             0.96492,             0.64637,            0.026947,            0.031908,                   0,           0.0052716,           0.0052716,           0.0052716
                  98,            0.023346,            0.030791,                   0,             0.95275,             0.91566,             0.96612,             0.64667,            0.026912,            0.032561,                   0,           0.0052224,           0.0052224,           0.0052224
                  99,            0.023578,            0.030886,                   0,             0.94506,             0.93586,             0.97163,             0.65812,            0.026239,            0.031675,                   0,           0.0051731,           0.0051731,           0.0051731
